id,cycles_to_fail
5,357
96,339
147,323
151,317
170,302
60,300
217,287
38,287
34,286
33,286
49,285
195,284
80,284
31,283
25,281
28,278
207,278
175,278
141,277
46,277
153,277
110,277
212,277
8,276
144,272
148,264
213,263
131,263
99,263
115,260
53,259
171,258
178,255
191,255
123,254
63,254
168,253
209,252
73,249
54,249
188,246
194,246
85,246
125,245
103,243
189,242
12,242
119,242
45,242
126,241
42,241
62,238
122,237
137,237
186,236
202,236
72,235
95,234
210,233
44,233
116,232
136,232
146,231
83,231
108,230
166,229
61,229
78,228
10,228
156,228
17,228
29,228
48,227
47,227
111,227
101,226
112,226
196,226
6,225
183,225
79,225
203,225
89,225
71,225
193,223
50,223
82,223
179,223
1,223
93,222
102,222
172,222
155,221
182,220
177,218
169,218
142,215
152,213
100,213
23,213
52,212
117,212
139,211
211,211
164,211
11,210
26,210
140,210
13,210
94,209
65,209
43,209
92,207
84,206
98,206
21,205
86,205
68,204
22,203
162,202
157,202
41,201
201,201
30,200
180,200
107,200
208,199
81,199
187,199
91,199
132,199
185,198
176,197
114,197
124,197
18,196
32,193
199,192
149,192
74,192
24,191
66,190
216,190
90,190
173,190
145,189
106,189
135,188
118,188
35,188
40,187
75,186
161,184
51,182
200,182
138,181
9,181
104,178
15,178
174,178
27,178
167,177
37,177
87,177
163,177
192,176
150,175
70,175
159,174
77,174
204,174
134,173
16,172
154,171
120,170
69,170
59,169
7,168
158,167
19,167
2,164
127,163
56,162
181,161
39,161
184,160
113,160
165,160
109,160
4,159
128,159
97,157
197,157
215,156
206,155
20,154
64,154
121,153
190,152
133,151
57,150
3,150
214,150
105,149
143,149
14,147
36,147
55,147
58,147
129,147
160,147
67,145
130,143
198,137
205,135
88,134
218,133
76,128
